N,rv,rg,z,time,interaction_type,idr,mr,id1,m1,id2,m2,r,typer,type1,type2
16.0,2.0,8.0,0.0002,9.116010405199999,disrupt2,1662615,14.474,685351,14.4732,1662615,45.1082,0.291983,14,14,4
16.0,2.0,8.0,0.0002,9.3282838052,disrupt2,1651207,13.2978,36799,13.297,1651207,43.7158,0.167681,14,14,4
16.0,2.0,8.0,0.0002,9.7678312588,disrupt2,1640440,10.7426,930902,10.7421,1640440,41.7329,1.23047,14,14,4
16.0,2.0,8.0,0.0002,10.3778342526,disrupt2,1610587,11.5175,996750,11.5167,1610587,38.1199,0.450484,14,14,4
16.0,2.0,8.0,0.0002,10.5193498526,disrupt2,1620445,6.79681,73589,6.75125,1620445,39.0923,0.509302,14,14,4
16.0,2.0,8.0,0.0002,11.061920663,disrupt2,1672963,8.36973,226925,8.36936,1672963,37.3997,0.448112,14,14,4
16.0,2.0,8.0,0.0002,11.3384421454,disrupt2,1609579,8.04511,682089,8.04485,1609579,35.5386,1.91196,14,14,4
16.0,2.0,8.0,0.0002,11.6927972078,disrupt2,1643041,6.40032,1484163,6.40007,1643041,34.8449,1.22785,14,14,4
16.0,2.0,8.0,0.0002,11.6927972078,disrupt2,1617434,9.73798,1071953,9.73733,1617434,33.3962,1.55565,14,14,4
16.0,2.0,8.0,0.0002,11.8655877554,disrupt2,1610655,10.5603,851837,10.5598,1610655,32.6769,1.13551,14,14,4
16.0,2.0,8.0,0.0002,12.0141791354,disrupt2,1634737,7.50611,728692,7.50582,1634737,34.8514,1.22202,14,14,4
16.0,2.0,8.0,0.0002,12.0141791354,disrupt2,1615806,6.40449,1529452,6.40438,1615806,34.0747,3.9232,14,14,4
16.0,2.0,8.0,0.0002,12.1247735768,disrupt2,1612212,6.16099,799366,6.16082,1612212,33.5992,0.982127,14,14,4
16.0,2.0,8.0,0.0002,12.1247735768,disrupt2,1634509,7.39532,442173,7.39523,1634509,33.0903,0.984065,14,14,4
16.0,2.0,8.0,0.0002,12.2101782414,disrupt2,1631844,7.54919,614367,7.54903,1631844,32.4956,0.604586,14,14,4
16.0,2.0,8.0,0.0002,12.2101782414,disrupt2,1608961,7.96815,1058998,7.96798,1608961,33.8266,1.49098,14,14,4
16.0,2.0,8.0,0.0002,12.582151995999999,disrupt2,1666400,6.16978,1048472,6.16959,1666400,32.0123,1.46935,14,14,4
16.0,2.0,8.0,0.0002,13.3887201582,disrupt2,1629956,6.01877,1072913,6.0187,1629956,30.0012,2.43227,14,14,4
16.0,2.0,8.0,0.0002,13.515518135799999,disrupt2,1632918,8.35832,185177,8.35786,1632918,29.708,0.568855,14,14,4
16.0,2.0,8.0,0.0002,13.5955452076,disrupt2,1635032,7.93987,744761,7.93983,1635032,30.0049,0.795937,14,14,4
16.0,2.0,8.0,0.0002,13.7433582518,disrupt2,1641864,8.27502,1556663,8.27481,1641864,29.2363,3.07962,14,14,4
16.0,2.0,8.0,0.0002,14.261871410199998,disrupt2,1676082,8.23353,446597,8.2334,1676082,27.9767,0.566679,14,14,4
16.0,2.0,8.0,0.0002,14.632288493199999,disrupt2,1679331,5.9786,704512,5.97859,1679331,26.8541,1.50433,14,14,4
16.0,2.0,8.0,0.0002,14.705310542800001,disrupt2,1620228,7.82427,1570202,7.82411,1620228,27.31,1.93182,14,14,4
16.0,2.0,8.0,0.0002,14.843995830799999,disrupt2,1648767,6.2225,241647,6.22236,1648767,25.977,1.49637,14,14,4
16.0,2.0,8.0,0.0002,14.843995830799999,disrupt2,1617828,6.29107,1570114,6.29105,1617828,25.9958,2.37186,14,14,4
16.0,2.0,8.0,0.0002,14.888219455800002,disrupt2,1613832,8.1246,350672,8.12457,1613832,26.5637,1.09211,14,14,4
16.0,2.0,8.0,0.0002,16.942813694399998,disrupt2,1615845,7.39105,988089,7.39086,1615845,23.2926,0.830475,14,14,4
16.0,2.0,8.0,0.002,9.576219136399999,disrupt2,1664847,6.21919,1213902,6.21862,1664847,41.8742,1.06895,14,14,2
16.0,2.0,8.0,0.002,14.265975362599999,disrupt2,1648767,7.51194,241647,7.51179,1648767,26.841,0.663927,14,14,2
16.0,2.0,8.0,0.02,6.32354675242,disrupt2,1640235,15.1898,1496953,8.72732,1640235,13.4315,0.950231,14,14,7
16.0,2.0,8.0,0.02,6.67902686384,disrupt2,1639621,12.671,571779,6.56253,1639621,11.7033,0.437564,14,14,7
16.0,2.0,8.0,0.02,6.67902686384,disrupt2,1621479,14.6767,1354910,8.68175,1621479,10.5298,0.76227,14,14,7
16.0,2.0,8.0,0.02,7.2613069516,disrupt2,1659090,14.2191,612713,7.67777,1659090,11.9537,0.451885,14,14,7
16.0,2.0,8.0,0.02,7.2613069516,disrupt2,1652541,13.5555,1172438,7.6768,1652541,9.81499,0.975172,14,14,7
16.0,2.0,8.0,0.02,7.6539419838,disrupt2,1676968,14.6912,1049556,8.24675,1676968,11.8136,0.583403,14,14,7
16.0,2.0,8.0,0.02,7.6539419838,disrupt2,1616748,5.96898,1006276,5.96862,1616748,44.0137,1.02064,14,14,2
16.0,2.0,8.0,0.02,8755.923960999999,disrupt1,1880865,7.41359,1849472,7.41359,1880865,1.74791,0.275087,14,14,6
16.0,4.0,2.0,0.0002,10.256556077099999,disrupt2,1634737,7.70598,728692,7.70551,1634737,34.7126,1.75691,14,14,4
16.0,4.0,2.0,0.0002,11.8880402931,disrupt2,1609579,8.41507,682089,8.41402,1609579,35.3558,1.0749,14,14,4
16.0,4.0,2.0,0.0002,12.9139020378,disrupt2,1666400,6.37039,1048472,6.36938,1666400,31.7918,1.09149,14,14,4
16.0,4.0,2.0,0.0002,14.157948779099998,disrupt2,1641864,8.51906,1556663,8.51833,1641864,28.9993,3.51535,14,14,4
16.0,4.0,2.0,0.0002,14.938807705199999,disrupt2,1676082,8.48547,446597,8.48477,1676082,27.7252,0.452012,14,14,4
16.0,4.0,2.0,0.0002,14.938807705199999,disrupt2,1635032,14.2557,744761,8.1856,1635032,11.2261,0.999065,14,14,7
16.0,4.0,2.0,0.0002,15.2914620645,disrupt2,1613832,8.39233,350672,8.39184,1613832,26.2796,1.32344,14,14,4
16.0,4.0,2.0,0.0002,16.1078045715,disrupt2,1621980,7.57905,1366067,7.57884,1621980,26.5211,0.714916,14,14,4
16.0,4.0,2.0,0.0002,17.4123114921,disrupt2,1615845,7.62648,988089,7.62598,1615845,23.0422,1.05218,14,14,4
16.0,4.0,2.0,0.0002,299.17682037,disrupt2,1601528,20.4644,128897,20.4631,1601528,1.51319,0.274335,14,14,5
16.0,4.0,2.0,0.002,9.284870335499999,disrupt2,1620645,21.4722,252721,10.7912,1620645,17.1298,0.499328,14,14,7
16.0,4.0,2.0,0.002,9.8168838894,disrupt2,1651207,17.9,36799,9.03407,1651207,15.4292,0.112785,14,14,7
16.0,4.0,2.0,0.002,9.8168838894,disrupt2,1662615,20.5332,685351,10.884,1662615,15.1733,0.93159,14,14,7
16.0,4.0,2.0,0.002,10.912952290499998,disrupt2,1612127,15.4828,1326835,8.15272,1612127,13.3451,0.477166,14,14,7
16.0,4.0,2.0,0.002,10.912952290499998,disrupt2,1620445,15.5509,73589,8.51965,1620445,13.3015,0.536457,14,14,7
16.0,4.0,2.0,0.002,11.5900822827,disrupt2,1672963,14.0282,226925,7.47085,1672963,12.8863,0.514614,14,14,7
16.0,4.0,2.0,0.002,11.5900822827,disrupt2,1679354,15.1441,1490974,8.36813,1679354,12.4718,1.56774,14,14,7
16.0,4.0,2.0,0.002,12.697858464299998,disrupt2,1666363,14.0537,429479,7.99579,1666363,11.5932,0.491272,14,14,7
16.0,4.0,2.0,0.002,12.697858464299998,disrupt2,1643041,14.2984,1484163,8.24801,1643041,11.4933,1.49922,14,14,7
16.0,4.0,2.0,0.002,12.697858464299998,disrupt2,1615806,14.2251,1529452,8.2153,1615806,11.4763,1.82305,14,14,7
