N,rv,rg,z,time,interaction_type,id_merger,mass_merger,id1,m1,id2,m2,id3,m3,id4,m4,r,typem,type1,type2,type3,type4,b[RSUN],vinf[km/s]
16,0.5,2,0.002,657.464301,single-single,2070634,16.7153,390634,16.7153,894344,2.18731,-100,-100,-100,-100,0.0694135,14,14,6,-100,-100,761.504,23.7025
16,0.5,2,0.002,666.4584967,single-single,2198846,13.4844,2198845,13.4844,1377359,2.29491,-100,-100,-100,-100,0.12114,14,14,4,-100,-100,31.3634,72.3165
16,0.5,2,0.002,685.023564,single-single,1680003,16.0965,1680002,16.0965,929296,2.28281,-100,-100,-100,-100,0.0177523,14,14,4,-100,-100,362.636,41.1301
16,0.5,2,0.002,746.0768972,single-single,1705299,12.562,1705298,12.562,449768,2.19862,-100,-100,-100,-100,0.146672,14,14,4,-100,-100,219.589,47.5165
16,0.5,2,0.002,760.376156,single-single,1899189,16.6295,219189,16.6295,1338769,2.15669,-100,-100,-100,-100,0.237842,14,14,4,-100,-100,297.04,23.6729
16,0.5,2,0.002,789.153337,single-single,2201722,16.3151,999735,16.3151,521722,2.15908,-100,-100,-100,-100,0.0154835,14,14,5,-100,-100,275.003,63.3692
16,0.5,2,0.002,790.511886,single-single,2090010,16.6468,410010,16.6468,1400400,3.73273,-100,-100,-100,-100,0.504254,14,14,3,-100,-100,992.525,8.62707
16,0.5,2,0.002,809.1972415,single-single,1742231,15.6034,1742230,15.6034,736270,2.11364,-100,-100,-100,-100,0.0561508,14,14,4,-100,-100,1488.33,6.7668
16,0.5,2,0.002,814.3324859,single-single,1769569,16.6185,1769568,16.6185,361712,2.1425,-100,-100,-100,-100,0.0295355,14,14,5,-100,-100,411.905,31.8183
16,0.5,2,0.002,960.8461572,single-single,2508493,14.3562,2508492,14.3562,989678,1.97056,-100,-100,-100,-100,0.204462,14,14,4,-100,-100,193.686,16.3919
16,0.5,2,0.002,967.6477469,single-single,1680822,18.8155,1680821,18.8155,865370,1.91015,-100,-100,-100,-100,0.0525326,14,14,3,-100,-100,315.923,29.5802
16,0.5,2,0.002,984.6915223,single-single,2490261,12.2868,1365313,12.2868,810261,1.99754,-100,-100,-100,-100,0.028499,14,14,4,-100,-100,591.495,17.986
16,0.5,2,0.002,1229.787558,single-single,1803498,13.7077,1803497,13.7077,653286,1.78718,-100,-100,-100,-100,0.392328,14,14,6,-100,-100,1810.38,18.3271
16,0.5,2,0.002,1245.840725,binary-single,1693778,16.4748,13778,16.4748,141251,1.74412,-100,-100,-100,-100,0.0188698,14,14,3,-100,-100,-100,-100
16,0.5,2,0.002,1285.137816,single-single,1905618,13.5009,1905617,13.5009,404517,1.73263,-100,-100,-100,-100,0.358126,14,14,4,-100,-100,306.496,28.4596
16,0.5,2,0.002,1347.325042,single-single,2164702,16.0509,2308563,16.0509,484701,1.72327,-100,-100,-100,-100,0.14197,14,14,4,-100,-100,1119.04,7.48418
16,0.5,2,0.002,1375.141687,single-single,1749758,13.0265,1749757,13.0265,176167,1.70669,-100,-100,-100,-100,0.196878,14,14,4,-100,-100,256.607,18.4492
