N,rv,rg,z,t_snapshot[myr],id,m[MSUN],r,vr,vt,E,J,binflag,m0[MSUN],m1[MSUN],id0,id1,a[AU],e,startype,luminosity[LSUN],radius[RSUN],bin_startype0,bin_startype1,bin_star_lum0[LSUN],bin_star_lum1[LSUN],bin_star_radius0[RSUN],bin_star_radius1[RSUN],bin.Eb,eta,star.phi,rad0,rad1,tb,lum0,lum1,massc0,massc1,radc0,radc1,menv0,menv1,renv0,renv1,tms0,tms1,dmdt0,dmdt1,radrol0,radrol1,ospin0,ospin1,B0,B1,formation0,formation1,bacc0,bacc1,tacc0,tacc1,mass0_0,mass0_1,epoch0,epoch1,ospin,B,formation
16.0,0.5,2.0,0.002,0,390175,3.5088371,0.48784243,-0.55694433,0.42100171,-1.0503607,0.2053825,-100,-100,-100,-100,-100,-100,-100,1,188.88071,1.6385238,-100,-100,-100,-100,-100,-100,-100,-100,-1.29407538628,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6318.82,0,0
16.0,0.5,2.0,0.002,0,394180,3.0131486,0.49077531,-0.25988979,0.19289158,-1.2386941,0.094666428,-100,-100,-100,-100,-100,-100,-100,1,110.18173,1.5000909,-100,-100,-100,-100,-100,-100,-100,-100,-1.29106901034,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6339.19,0,0
16.0,0.5,2.0,0.002,0,397415,0.87181052,0.49312449,0.88966983,0.88644079,-0.50002034,0.43712566,-100,-100,-100,-100,-100,-100,-100,1,0.69104952,0.81015713,-100,-100,-100,-100,-100,-100,-100,-100,-1.28866517879,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,751.886,0,0
16.0,0.5,2.0,0.002,0,404517,1.7479353,0.49824717,0.39517965,0.84366446,-0.84946688,0.42035343,-100,-100,-100,-100,-100,-100,-100,1,14.236848,1.1365741,-100,-100,-100,-100,-100,-100,-100,-100,-1.28343521981,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3802.38,0,0
16.0,0.5,2.0,0.002,0,416522,3.8738397,0.50698858,-1.1223826,0.58451436,-0.47384929,0.2963421,-100,-100,-100,-100,-100,-100,-100,1,266.41587,1.7361014,-100,-100,-100,-100,-100,-100,-100,-100,-1.27454916842,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6169.96,0,0
16.0,0.5,2.0,0.002,0,439402,9.8859688,0.52370968,0.19368106,0.13107488,-1.2303648,0.068645183,-100,-100,-100,-100,-100,-100,-100,1,5553.5814,3.0369339,-100,-100,-100,-100,-100,-100,-100,-100,-1.25771129655,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3475.4,0,0
16.0,0.5,2.0,0.002,0,449768,2.223248,0.53124622,0.039838527,0.51234921,-1.1181384,0.27218358,-100,-100,-100,-100,-100,-100,-100,1,36.088788,1.266127,-100,-100,-100,-100,-100,-100,-100,-100,-1.25018281645,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5369.29,0,0
16.0,0.5,2.0,0.002,0,459766,6.824961,0.53851408,-1.003481,0.24908363,-0.70845153,0.13413504,-100,-100,-100,-100,-100,-100,-100,1,1750.8864,2.4292773,-100,-100,-100,-100,-100,-100,-100,-100,-1.24295991831,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4528.45,0,0
16.0,0.5,2.0,0.002,0,467378,16.784501,0.54406233,0.28313144,0.70133684,-0.95145359,0.38157096,-100,-100,-100,-100,-100,-100,-100,1,25572.497,4.1871241,-100,-100,-100,-100,-100,-100,-100,-100,-1.23747197127,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2339.12,0,0
16.0,0.5,2.0,0.002,0,483723,14.129099,0.55629098,-0.13544124,0.70619495,-0.96693123,0.39284988,-100,-100,-100,-100,-100,-100,-100,1,15832.841,3.7714914,-100,-100,-100,-100,-100,-100,-100,-100,-1.22545904923,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2662.93,0,0
16.0,0.5,2.0,0.002,0,484701,1.7503998,0.55699264,-0.29082593,0.60973202,-0.9965968,0.33961625,-100,-100,-100,-100,-100,-100,-100,1,14.316695,1.1371033,-100,-100,-100,-100,-100,-100,-100,-100,-1.2247732309,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3812.49,0,0
16.0,0.5,2.0,0.002,0,490145,5.8711186,0.56101179,0.45093533,0.64706219,-0.90983618,0.36300952,-100,-100,-100,-100,-100,-100,-100,1,1076.1537,2.2201722,-100,-100,-100,-100,-100,-100,-100,-100,-1.22085225319,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5001.72,0,0
16.0,0.5,2.0,0.002,0,493336,4.3182451,0.56338785,0.063511341,0.68797335,-0.9798709,0.38759583,-100,-100,-100,-100,-100,-100,-100,1,386.51609,1.8505115,-100,-100,-100,-100,-100,-100,-100,-100,-1.21854141656,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5922.65,0,0
