#N,#rv,#rg,#z,#t_snapshot[myr],#M1[MSUN],#M2[MSUN],#k1,#k2,#id1,#id2,#sma[AU],#ecc,#snapshot
16.0,0.5,2.0,0.02,431.13831754271996,0.91547215,6.7831032,11.0,14.0,713685.0,1693642.0,0.23456143,0.7985964,initial.bhinfo0063
16.0,0.5,2.0,0.02,438.86783333208,12.452164,0.91344412,14.0,11.0,1684350.0,2155785.0,0.064492489,0.77072388,initial.bhinfo0064
16.0,0.5,2.0,0.02,438.86783333208,0.91547215,6.7831032,11.0,14.0,713685.0,1693642.0,0.23455902,0.79859449,initial.bhinfo0064
16.0,0.5,2.0,0.02,438.86783333208,0.019053406,9.0811693,11.0,14.0,382164.0,441499.0,0.0034246814,1.7479732e-06,initial.bhinfo0064
16.0,0.5,2.0,0.02,446.35273954512,13.176455,0.91344412,14.0,11.0,1843683.0,2155785.0,0.040758708,0.30583784,initial.bhinfo0065
16.0,0.5,2.0,0.02,446.35273954512,0.018125847,9.0820969,11.0,14.0,382164.0,441499.0,0.0035440256,0.026945463,initial.bhinfo0065
16.0,0.5,2.0,0.02,446.35273954512,0.91547215,6.7831032,11.0,14.0,713685.0,1693642.0,0.23455668,0.79859264,initial.bhinfo0065
16.0,0.5,2.0,0.02,453.02792048687996,0.017482515,9.0827402,11.0,14.0,382164.0,441499.0,0.0036349865,0.025035043,initial.bhinfo0066
16.0,0.5,2.0,0.02,453.02792048687996,0.91547215,6.7831032,11.0,14.0,713685.0,1693642.0,0.23455459,0.79859099,initial.bhinfo0066
16.0,0.5,2.0,0.02,453.02792048687996,13.176455,0.91344412,14.0,11.0,1843683.0,2155785.0,0.040735046,0.30563256,initial.bhinfo0066
16.0,0.5,2.0,0.02,459.85015374335995,13.176455,0.91344412,14.0,11.0,1843683.0,2155785.0,0.040710839,0.3054225,initial.bhinfo0067
16.0,0.5,2.0,0.02,459.85015374335995,0.016927396,9.0832953,11.0,14.0,382164.0,441499.0,0.0037174113,0.023434648,initial.bhinfo0067
16.0,0.5,2.0,0.02,467.14895820288,0.016417158,9.0838056,11.0,14.0,382164.0,441499.0,0.00379715,0.022008444,initial.bhinfo0068
16.0,0.5,2.0,0.02,467.14895820288,13.176455,0.91344412,14.0,11.0,1843683.0,2155785.0,0.03998966,0.28700512,initial.bhinfo0068
16.0,0.5,2.0,0.02,475.08841226616005,13.176455,0.91344412,14.0,11.0,1843683.0,2155785.0,0.039961877,0.28676632,initial.bhinfo0069
16.0,0.5,2.0,0.02,475.08841226616005,0.015937007,9.0842857,11.0,14.0,382164.0,441499.0,0.0038760377,0.020706436,initial.bhinfo0069
16.0,0.5,2.0,0.02,481.6310904576,13.176455,0.91344412,14.0,11.0,1843683.0,2155785.0,0.039938956,0.28656926,initial.bhinfo0070
16.0,0.5,2.0,0.02,481.6310904576,0.015587565,9.0846352,11.0,14.0,382164.0,441499.0,0.0039359855,0.019783469,initial.bhinfo0070
16.0,0.5,2.0,0.02,490.93694762424,0.01514764,9.0850751,11.0,14.0,382164.0,441499.0,0.0040147209,0.018651091,initial.bhinfo0071
16.0,0.5,2.0,0.02,499.08764013528,0.014806919,9.0854158,11.0,14.0,382164.0,441499.0,0.0040783717,0.017796783,initial.bhinfo0072
16.0,0.5,2.0,0.02,510.08991459792,0.014399604,9.0858231,11.0,14.0,382164.0,441499.0,0.0041577463,0.016801586,initial.bhinfo0073
16.0,0.5,2.0,0.02,522.300174384,0.014004053,9.0862187,11.0,14.0,382164.0,441499.0,0.004238498,0.015862391,initial.bhinfo0074
16.0,0.5,2.0,0.02,528.11113773456,0.013832993,9.0863897,11.0,14.0,382164.0,441499.0,0.00427461,0.015464562,initial.bhinfo0075
16.0,0.5,2.0,0.02,537.55358391216,0.013575002,9.0866477,11.0,14.0,382164.0,441499.0,0.0043305061,0.014874093,initial.bhinfo0076
16.0,0.5,2.0,0.02,549.7888211875199,0.013272231,9.0869505,11.0,14.0,382164.0,441499.0,0.0043984086,0.014195782,initial.bhinfo0077
16.0,0.5,2.0,0.02,565.53768539592,0.012925642,9.0872971,11.0,14.0,382164.0,441499.0,0.0044793831,0.013438747,initial.bhinfo0078
16.0,0.5,2.0,0.02,572.99425312608,0.012775786,9.087447,11.0,14.0,382164.0,441499.0,0.0045155265,0.013117862,initial.bhinfo0079
16.0,0.5,2.0,0.02,582.24458314056,0.012600852,9.0876219,11.0,14.0,382164.0,441499.0,0.0045586242,0.012748198,initial.bhinfo0080
16.0,0.5,2.0,0.02,590.3189899416,0.012457092,9.0877656,11.0,14.0,382164.0,441499.0,0.0045947962,0.012448381,initial.bhinfo0081
16.0,0.5,2.0,0.02,600.5433093672,0.012285742,9.087937,11.0,14.0,382164.0,441499.0,0.0046388311,0.012095709,initial.bhinfo0082
16.0,0.5,2.0,0.02,608.5166033291999,0.012159604,9.0880631,11.0,14.0,382164.0,441499.0,0.0046719075,0.011839349,initial.bhinfo0083
16.0,0.5,2.0,0.02,620.2848482332801,0.011984163,9.0882386,11.0,14.0,382164.0,441499.0,0.0047188766,0.011487384,initial.bhinfo0084
16.0,0.5,2.0,0.02,627.3314897255999,0.011884684,9.0883381,11.0,14.0,382164.0,441499.0,0.0047460224,0.011290188,initial.bhinfo0085
16.0,0.5,2.0,0.02,639.03702556488,0.011727755,9.088495,11.0,14.0,382164.0,441499.0,0.004789625,0.010982609,initial.bhinfo0086
16.0,0.5,2.0,0.02,650.03899046232,0.011588864,9.0886339,11.0,14.0,382164.0,441499.0,0.0048290364,0.010713958,initial.bhinfo0087
16.0,0.5,2.0,0.02,657.39551556456,0.011500229,9.0887225,11.0,14.0,382164.0,441499.0,0.0048546017,0.010544273,initial.bhinfo0088
16.0,0.5,2.0,0.02,666.62385760512,0.011393463,9.0888293,11.0,14.0,382164.0,441499.0,0.0048858371,0.010341691,initial.bhinfo0089
16.0,0.5,2.0,0.02,673.80649551216,0.011313543,9.0889092,11.0,14.0,382164.0,441499.0,0.0049095399,0.010191349,initial.bhinfo0090
16.0,0.5,2.0,0.02,688.36471004832,0.011159389,9.0890634,11.0,14.0,382164.0,441499.0,0.0049560577,0.0099045061,initial.bhinfo0091
16.0,0.5,2.0,0.02,699.55262633904,0.011046525,9.0891762,11.0,14.0,382164.0,441499.0,0.0049902952,0.0073342662,initial.bhinfo0092
16.0,0.5,2.0,0.02,706.88746418784,0.010975668,9.0892471,11.0,14.0,382164.0,441499.0,0.005012603,0.0072370816,initial.bhinfo0093
16.0,0.5,2.0,0.02,714.24092017224,0.010906873,9.0893159,11.0,14.0,382164.0,441499.0,0.0050344255,0.0071431988,initial.bhinfo0094
16.0,0.5,2.0,0.02,725.49468540336,0.010805572,9.0894172,11.0,14.0,382164.0,441499.0,0.0050669067,0.0070059155,initial.bhinfo0095
16.0,0.5,2.0,0.02,737.99206249008,0.010698234,9.0895245,11.0,14.0,382164.0,441499.0,0.0051018272,0.0068618014,initial.bhinfo0096
16.0,0.5,2.0,0.02,752.46687131664,0.010580063,9.0896427,11.0,14.0,382164.0,441499.0,0.0051409209,0.0067048272,initial.bhinfo0097
